ID,Activity
SERPT,1
3DSPHR,1
CEPTC_BT,1
CEPTE_BT,0
CERS_BT,1
CHOLK,1
DAGK160,0
PE_CER1_BTt,0
PEPT160,0
SPHMYLN_BTt,1
SUCD1,2
FRD3,0
OOR2r,0
OOR3r,0
PPC_ppi,0
PPCKr,2
MDH,2
FUM,2
ACONTa,0
ACONTb,0
ICDHyr,0
CS,0
PC,0
SUCOAS,4
FRD10,0
FRD11,0
FRD2,0
FRD8,0
FRD2_HEME,4
FRD9,0
SUCDi,0
OORr,0
THMDP,0
TMDPK,0
TMPKr,1
AHMMPS,1
ASADi,1
26DAPLLATi,4
AOBUTDs,0
LYSDC,0
HSK,1
ASPK,1
DAPDC,1
DHDPS,1
LYSAM,0
DHDPRy,1
DAPE,4
H2Ot,2
ALAt4r,0
XANt2r,0
ARGARGt,0
GLYPROt,0
LEULEUt,0
CYTDt2r,0
DADNt2r,0
DCYTt2r,0
DGSNt2,0
GSNt2r,0
INSt2,0
THMDt2,0
URIt2r,0
DT5HSUt2r,0
GALURt2r,0
GLCURt2r,0
Kt3r,2
ARGabc,0
ORNabc,0
MGt5,2
ACGAMtr,0
ZNabc,0
SO4t2,0
CAt7r,2
FUMt2r,0
SUCCt2r,0
GLUABUTt7,0
CA2abc,0
PIt8i,1
Kabc,0
NMNt2r,0
THMt3,0
FE2abc,1
FE3DCITabc,0
FEDCabc,0
CBL1abc,1
FRUt2r,4
CTBTabc,0
LYSt3r,0
MANabc,0
L_LACt2r,0
PIabc,0
PTRCabc,0
SPMDabc,0
FUCt,0
METt2r,0
CD2abc1,0
Cuabc,0
Cut1,0
HG2abc,0
PBt,0
PHEARGt,0
MG2abc,0
XYLt2,0
URAt2r,0
NAt3_1,5
ZN2t4,2
HEMEti,0
PHEMEt,4
ARBt2r,0
GLCt2r,6
GLCt4,4
PROt4r,2
CARPEPT1tr,0
GALt2_2,4
ADOCBLabc,0
GLYBabc,0
ALAGLNt,0
ALAGLUt,0
ALAHISt,0
ALALEUt,0
ALATHRt,0
GLYASPt,0
GLYGLNt,0
GLYGLUt,0
GLYGLYt,0
GLYMETt,0
GLYTYRt,0
LEUGLYt,0
ALAASPt,0
ALAGLYt,0
CGLYt3_2_,0
